тема,тип вопроса,условие,варианты ответа,ответ,класс
монополия,3,"Спрос на продукцию монополиста описывается уравнением Pd = 10−5Q 
 , а общие издержки –– уравнением TC(Q) = Q^2 +Q + 1. Пусть Q* –– оптимальный выпуск данной 
 фирмы. Выберите утверждения, которые верны при Q= Q⋆ 
 .","1) Эластичность спроса по цене по модулю больше единицы. 
 2) Эластичность выручки по цене отрицательна. 
 3) Эластичность средних переменных издержек по выпуску меньше единицы. 
 4) Эластичность постоянных издержек по выпуску не больше, чем эластичность переменных издержек по выпуску.","1) Эластичность спроса по цене по модулю больше единицы. 
 2) Эластичность выручки по цене отрицательна. 
 3) Эластичность средних переменных издержек по выпуску меньше единицы. 
 4) Эластичность постоянных издержек по выпуску не больше, чем эластичность переменных издержек по выпуску.",11
кпв,3,". Мир состоит из двух стран, в которых производятся два товара –– X и Y. В первой 
 стране КПВ описывается уравнением X +Y = 1, а во второй стране –– X +2Y = 1. Товары 
 потребляются только в некой фиксированной пропорции (возможно, разной в разных 
 странах). Изначально страны не торгуют друг с другом. После открытия торговли каждая из стран станет ценополучателем на мировом рынке, где можно будет обменять 
 одну единицу Икса на P > 0 единиц Игрека. Страна не проигрывает от торговли, если 
 потребление в ней товаров не уменьшается, и выигрывает, если потребление в ней 
 товаров увеличивается. Тогда:","1) При P ≠ 1 первая страна выигрывает от торговли; 
 2) При P ≠ 2 вторая страна выигрывает от торговли; 
 3) При каждом P> 0 каждая из стран не проигрывает от торговли; 
 4) При каждом P> 0 хотя бы одна из стран выигрывает от торговли.",1) При P ≠ 1 первая страна выигрывает от торговли;3) При каждом P > 0 каждая из стран не проигрывает от торговли; 4) При каждом P> 0 хотя бы одна из стран выигрывает от торговли,11
рынки,4,"Спрос на некий товар в континентальной Европе равен Qd = 100−P, предложение 
 равно Qs = P. Изначально Британия может экспортировать в континентальную Европу любое количество товара по цене 30. После выхода Британии из Евросоюза на британские товары в континентальной Европе начнет действовать импортная пошлина 
 в размере 20 %. На сколько процентов в результате уменьшится выручка британских 
 производителей от экспорта (за вычетом пошлины)?",-,30,11
монополия,4,"Фирма-монополист работает на рынке с функцией спроса P = 20 − Q и сама доставляет товар потребителям. Изначально предельные издержки, включая издержки 
 на доставку, постоянны и равны 10. Фирма рассматривает возможность приобретения 
 парка беспилотников (дронов); поскольку доставка беспилотниками быстрее и удобнее для потребителей, спрос вырастет до P = 25 − Q, при этом предельные издержки 
 сократятся до 7 за счет снижения затрат на доставку. Какую максимальную сумму готова фирма заплатить за парк беспилотников?",-,56,11
совершенная конкуренция,4,"Функция издержек фирмы на рынке совершенной конкуренции в краткосрочном периоде имеет вид
 TC(Q) = 2019, Q= 0;
 TC=Q^2 + Q + 2020, Q > 0.
 На сколько единиц изменится оптимальный объем выпуска при росте цены с 1 до 2?",-,0,11
неравенство,4,"В стране Z кривая Лоренца определяется как y = x^3 
 . Какое значение примет коэффициент Джини, если суммарный доход беднейшей половины населения равномерно распределить между ними, а суммарный доход богатейшей половины населения 
 равномерно распределить между ними?",-,"0,375.",11
издержки,4,"Вы проводите сравнительный анализ производительности фирм, для чего перед вами стоит задача оценки производственных функций. Про некую фирму вам 
 известно, что она закупает единственный фактор производства –– труд –– на рынке совершенной конкуренции и продает свой товар на рынке совершенной конкуренции 
 по цене 2. Вы знаете также, что производственная функция фирмы Q(L) описывается 
 возрастающим участком квадратичной параболы с ветвями вниз (при L > L вершины 
 выпуск такой же, какой и в вершине этой параболы) и что Q(0) = 0. Наконец, вы 
 наблюдаете спрос фирмы на труд: Ld (w) = 100 − w. Определите среднюю производительность труда при L = 60",-,35,11
рынки,1,Рост цен на лыжи приведет к росту цен на лыжные ботинки.,1) Да. 2) Нет.,2) Нет.,9
гос вмешательство,1,"Если на рынке бензина наблюдается тенденция к росту цен, потребители бензина 
 обязательно выиграют от заморозки цены на него.",1) Да. 2) Нет.,2) Нет.,9
гос вмешательство,1,"Увеличение ставки налога необязательно приводит к повышению поступлений 
 в бюджет.",1) Да. 2) Нет.,1) Да.,9
рынки,1,"При увеличении числа фирм на рынке однородного товара суммарная выручка 
 фирм может увеличиться.",1) Да. 2) Нет.,1) Да.,9
анализ данных,1,"Исследование тысячи фирм показало, что те из них, которые частично принадлежат иностранным инвесторам, склонны к инновациям больше, чем фирмы, в структуре владельцев которых иностранцев нет. Значит, государство, стремящееся добиться 
 инновационного роста, должно способствовать росту прямых иностранных инвестиций в экономику.",1) Да. 2) Нет.,2) Нет.,9
нобелевская премия,2,"Выберите среди перечисленных вариантов область, за достижения в которой была 
 присуждена Нобелевская премия по экономике (Премия Шведского государственного 
 банка по экономическим наукам памяти Альфреда Нобеля) в 2018 году.","1) Экономика труда; 2) поведенческая экономика; 
 3) макроэкономика; 4) фрикономика.",3) макроэкономика;,9
финансы,2,Покупатель облигации компании X:,"1) Становится совладельцем компании X. 
 2) Становится кредитором компании X. 
 3) Становится генеральным директором компании X. 
 4) Становится заемщиком компании X.",2) Становится кредитором компании X.,9
финансы,2,"Первые 4 года цена акции росла на 100 % в год, а следующие 4 года падала на 60 % 
 в год. Как изменилась цена акции за 8 лет?","1) Выросла на 40,96 %; 2) выросла на 140 %; 
 3) выросла на 240 %; 4) снизилась на 59,04 %.","4) снизилась на 59,04 %.",9
неравенство,2,"В стране X живет 1000 человек. Если упорядочить их всех в порядке возрастания 
 (неубывания) накопленного богатства, окажется, что суммарное богатство первой половины списка равно суммарному богатству второй половины списка. Какое утверждение верно?","1) Первые 250 человек в списке накопили меньше 25 % всего богатства. 
 2) Последние 250 человек в списке накопили больше 25 % всего богатства. 
 3) Первый человек в списке накопил меньше богатства, чем последний. 
 4) Богатство всех жителей одинаково.",4) Богатство всех жителей одинаково.,9
заводы,2,"Фирма владеет тремя заводами с функциями издержек TC1(q)=q,TC2(q)=q^2,TC3(q) = q^3
 . Объем выпуска на каждом заводе может измеряться только целыми числами. Производство распределяется между заводами так, чтобы суммарные издержки
 были минимальны. Оказалось, что при каком-то общем объеме выпуска Q > 0 фирма
 решила использовать только один из заводов. Какой завод это не может быть?",1) Первый; 2) второй; 3) третий; 4) может быть любой.,4) может быть любой.,9
основы бизнеса,3,"Студент экономического факультета решил открыть бизнес по онлайн-подготовке 
 к олимпиадам. Первоначальные инвестиции (создание сайта, запись видео) составят 1 
 млн р. В первый год он ожидает получить прибыль в размере 0,5 млн р., в следующие 
 2 года –– по 1 млн р., во все последующие годы –– вновь 0,5 млн р. Проект теоретически 
 может существовать бесконечно. При каких ставках банковского процента вкладывать 
 деньги в этот бизнес выгоднее, чем на депозит в банк, где проценты выплачиваются 
 раз в год? Считайте, что риски проекта сравнимы с рисками депозита.",1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,9
другое,3,Выберите верные утверждения:,"1) Экономическая модель –– упрощенное описание действительности, которое помогает сфокусироваться на важных аспектах и игнорировать менее важные. 
 2) В экономических моделях, как правило, важные показатели принимаются 
 за константы. 
 3) Равновесие в экономике –– самоподдерживающаяся ситуация, которая не меняется 
 под воздействием внешних сил. 
 4) Рост реальных доходов человека означает, что он может купить на свои доходы 
 больше товаров и услуг.","1) Экономическая модель –– упрощенное описание действительности, которое помогает сфокусироваться на важных аспектах и игнорировать менее важные.4) Рост реальных доходов человека означает, что он может купить на свои доходы 
 больше товаров и услуг.",9
валютный курс,3,"В результате каких событий цена рубля, выраженная в иностранной валюте, упадет (в условиях политики плавающего валютного курса)?","1) Центральный банк РФ анонсировал крупномасштабную эмиссию рублей.
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой
 революционной сверхдешевой солнечной батареи.
 3) Опубликован новый рейтинг инвестиционного климата в разных странах мира,
 в котором Россия улучшила свою позицию сразу на 20 мест. 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.","1) Центральный банк РФ анонсировал крупномасштабную эмиссию рублей. 
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой 
 революционной сверхдешевой солнечной батареи. 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.",9
потребительский выбор,3,"Придя в супермаркет субботним утром, Алёнка готова заплатить за шоколадку 
 «Алёнка» не более 50 рублей, а за бутылку колы –– не более 30 рублей. В той же ситуации Кеша готов заплатить за шоколадку «Алёнка» не более 30 рублей, а за бутылку 
 колы –– не более 20 рублей. Что из этого следует?","1) Алёнка любит «Алёнку» сильнее, чем Кеша любит «Алёнку». 
 2) Кеша любит колу слабее, чем Алёнка любит колу. 
 3) Алёнка любит «Алёнку» с колой сильнее, чем Кеша любит такой же набор. 
 4) Среди утверждений выше нет верных.",4) Среди утверждений выше нет верных.,9
российская экономика,3,В какие из этих международных организаций (групп) входит Россия?,1) БРИКС 2) ОПЕК 3) ВТО 4) G7,1) БРИКС 3) ВТО,9
гос вмешательство,4,"На конкурентном рынке спрос описывается уравнением Q = 100 − P, а предложение — уравнением Q = P. Государство вводит субсидию в размере 20 ден. ед. за каждую проданную единицу продукции. Найдите расходы государства на субсидию.",-,1200,9
гос вмешательство,4,"Спрос на продукцию фирмы задается уравнением Q = 11 − P, ее издержки равны
 TC= Q. Государство вводит потоварный налог по ставке t (0 < t < 10). Какую часть
 налога фирма переложит на потребителя? Запишите ответ в виде обыкновенной или
 десятичной дроби.",-,0.5,9
международная торговля,4,"Известно, что в стране А спрос на товар X задается уравнением Q= 10−P/2; а предложение –– уравнением Q = P/3. Отечественные производители также могут продать любое количество товара за рубеж по цене 10. Отечественные покупатели, в свою очередь, могут приобрести любое количество товара за рубежом по цене 6. Зарубежные производители и зарубежные покупатели не пересекаются. Сколько единиц товараотечественные производители продадут внутри страны?",-,0,9
кпв,4,"КПВ страны описывается уравнением X + 2Y = 300. На мировом рынке можно 
 обменивать Икс на Игрек в любую сторону в пропорции одна единица Икса за две 
 единицы Игрека. Жители потребляют Иксы и Игреки только в виде коктейлей, которые бывают двух видов: 
 (а) 2 единицы Икса и 2 единицы Игрека; 
 (б) 3 единицы Икса и 1 единица Игрека. 
 Между коктейлями разных видов жители безразличны. Какое максимальное количество коктейлей смогут потребить жители страны?",-,100,9
финансы,4,В каком городе находится крупнейшая по капитализации фондовая биржа мира?,-,Нью-Йорк,9
рынки,1,Рост цен на лыжи приведет к росту цен на лыжные ботинки.,1) Да. 2) Нет.,2) Нет.,10
гос вмешательство,1,"Если на рынке бензина наблюдается тенденция к росту цен, потребители бензина 
 обязательно выиграют от заморозки цены на него.",1) Да. 2) Нет.,2) Нет.,10
гос вмешательство,1,"Увеличение ставки налога необязательно приводит к повышению поступлений 
 в бюджет.",1) Да. 2) Нет.,1) Да.,10
рынки,1,"При увеличении числа фирм на рынке однородного товара суммарная выручка 
 фирм может увеличиться.",1) Да. 2) Нет,1) Да.,10
анализ данных,1,"Исследование тысячи фирм показало, что те из них, которые частично принадлежат иностранным инвесторам, склонны к инновациям больше, чем фирмы, в структуре владельцев которых иностранцев нет. Значит, государство, стремящееся добиться 
 инновационного роста, должно способствовать росту прямых иностранных инвестиций в экономику.",1) Да. 2) Нет.,2) Нет.,10
нобелевская премия,2,". Выберите среди перечисленных вариантов область, за достижения в которой была 
 присуждена Нобелевская премия по экономике (Премия Шведского государственного 
 банка по экономическим наукам памяти Альфреда Нобеля) в 2018 году.","1) Экономика труда; 2) поведенческая экономика; 
 3) макроэкономика; 4) фрикономика.",3) макроэкономика;,10
финансы,2,Покупатель европейского опциона-колл на акции компании X,"1) Обязан купить определенное число акций фирмы X по определенной цене 
 до определенного момента в будущем. 
 2) Имеет право на продажу определенного числа акций фирмы X по определенной 
 цене до определенного момента в будущем. 
 3) Обязан купить определенное число акций фирмы X по определенной цене 
 в определенный момент в будущем. 
 4) Имеет право на покупку определенного числа акций фирмы X по определенной 
 цене в определенный момент в будущем.","4) Имеет право на покупку определенного числа акций фирмы X по определенной 
 цене в определенный момент в будущем.",10
финансы,2,"Первые 4 года цена акции росла на 100 % в год, а следующие 4 года падала на 60 % 
 в год. Как изменилась цена акции за 8 лет?","1) Выросла на 40,96 %; 2) выросла на 140 %; 
 3) выросла на 240 %; 4) снизилась на 59,04 %.","4) снизилась на 59,04 %.",10
неравенство,2,"Кривая Лоренца страны проходит через точку (0,5; 0,5). Чему равен максимально
 возможный коэффициент Джини в данной стране?","1) 0; 2) 0,25; 3) 0,5; 4) 1",1) 0,10
заводы,2,"Фирма владеет тремя заводами с функциями издержек TC1(q) = q, TC2(q)=q^2,TC3(q) = q^3. Производство распределяется между заводами так, чтобы суммарные издержки были минимальны. Оказалось, что при каком-то общем объеме выпуска 𝑄 > 0 фирма решила не использовать один из заводов. Какой завод это может быть?","1) Только первый; 2) только третий;
 3) первый или третий; 4) любой из заводов.",1) Только первый,10
основы бизнеса,3,". Студент экономического факультета решил открыть бизнес по онлайн-подготовке 
 к олимпиадам. Первоначальные инвестиции (создание сайта, запись видео) составят 1 
 млн р. В первый год он ожидает получить прибыль в размере 0,5 млн р., в следующие 
 2 года –– по 1 млн р., во все последующие годы –– вновь 0,5 млн р. Проект теоретически 
 может существовать бесконечно. При каких ставках банковского процента вкладывать 
 деньги в этот бизнес выгоднее, чем на депозит в банк, где проценты выплачиваются 
 раз в год? Считайте, что риски проекта сравнимы с рисками депозита.",1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,10
монополия,3,"На монопольном рынке индекс Лернера равен 0,2, фирма максимизирует прибыль. Выберите верные утверждения:","1) Общая выручка монополиста как минимум вдвое больше его общих издержек. 
 2) Монополия производит общественно эффективный объем выпуска. 
 3) Эластичность спроса по цене равна (−5). 
 4) Фирма получит бо́льшую прибыль, если увеличит цену.",3) Эластичность спроса по цене равна (−5).,10
валютный курс,3,"В результате каких событий цена рубля, выраженная в иностранной валюте, упадет (в условиях политики плавающего валютного курса)?","1) Центральный банк РФ анонсировал значительное снижение ключевой ставки (т. е. 
 ставки, по которой он выдает кредиты коммерческим банкам). 
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой 
 революционной сверхдешевой солнечной батареи. 
 3) Опубликован новый рейтинг инвестиционного климата в разных странах мира, 
 в котором Россия улучшила свою позицию сразу на 20 мест. 
 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.","1) Центральный банк РФ анонсировал значительное снижение ключевой ставки (т. е. 
 ставки, по которой он выдает кредиты коммерческим банкам). 
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой 
 революционной сверхдешевой солнечной батареи. 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.",10
гос вмешательство,3,"В двух больших странах на внутренних рынках солнечных батарей функции 
 спроса убывают, а функции предложения возрастают. Изначально страны свободно 
 торгуют солнечными батареями. В начале 2018 года президент страны-импортера Дональд Т. ввел импортный тариф по ставке 30 %. В результате этого:","1) Цена солнечных батарей в одной из стран понизится. 
 2) Потребители страны-импортера выиграют. 
 3) Потребители в стране-экспортере пострадают. 
 4) Общее благосостояние хотя бы одной из стран упадет.",1) Цена солнечных батарей в одной из стран понизится. 4) Общее благосостояние хотя бы одной из стран упадет.,10
гос вмешательство,4,". На конкурентном рынке спрос описывается уравнением Q = 100 − P, а предложение — уравнением Q = P. Государство вводит субсидию в размере 20 ден. ед. за каждую 
 проданную единицу продукции. Найдите расходы государства на субсидию.",-,1200,10
монополия,4,"Спрос на продукцию монополии задается уравнением Q = 11 − P, издержки монополии равны TC = Q. Государство вводит потоварный налог по ставке t (0 < t < 10). 
 Какую часть налога фирма переложит на потребителя? Запишите ответ в виде обыкновенной или десятичной дроби.",-,0.5,10
международная торговля,4,"Известно, что в стране А спрос на товар Х задается уравнением q = 5 −P /2; а предложение –– уравнением Q= P /2. Отечественные производители также могут продать 
 любое количество товара за рубеж по цене 8. Отечественные покупатели, в свою очередь, могут приобрести любое количество товара за рубежом по цене 3. Зарубежные 
 производители и зарубежные покупатели не пересекаются. Сколько единиц товара 
 отечественные производители продадут внутри страны?",-,0,10
кпв,4,"КПВ страны описывается уравнением X + 2Y = 300. На мировом рынке можно
 обменивать Икс на Игрек в любую сторону в пропорции одна единица Икса за две
 единицы Игрека. Жители потребляют Иксы и Игреки только в виде коктейлей, которые бывают двух видов:
 (а) 2 единицы Икса и 2 единицы Игрека;
 (б) 3 единицы Икса и 1 единица Игрека.
 Между коктейлями разных видов жители безразличны. Какое максимальное количество коктейлей смогут потребить жители страны?",-,100,10
монополия,4,"Спрос на продукцию монополиста предъявляют мужчины и женщины. Спрос 
 мужчин описывается уравнением Qm = 40 − P, а женщин –– Qw= 20 − P. Переменные 
 издержки равны нулю. Покупки осуществляются на сайте фирмы. Изначально фирма 
 не может определить пол посетителя сайта и назначает единую цену для всех. Компания Oxford Analytics предлагает технологию, которая основана на big data и позволяет 
 определять пол посетителя по характеру его/ее действий, что позволит монополисту 
 назначать разные цены для мужчин и женщин. Какую максимальную сумму фирма 
 будет готова заплатить за эту технологию?",-,50,10
рынки,1,Рост цен на лыжи приведет к росту цен на лыжные ботинки.,1) Да. 2) Нет.,2) Нет.,11
гос вмешательство,1,"Если на рынке бензина наблюдается тенденция к росту цен, потребители бензина 
 обязательно выиграют от заморозки цены на него.",1) Да. 2) Нет.,2) Нет.,11
гос вмешательство,1,"Увеличение ставки налога необязательно приводит к повышению поступлений 
 в бюджет.",1) Да. 2) Нет.,1) Да.,11
рынки,1,"При увеличении числа фирм на рынке однородного товара суммарная выручка 
 фирм может увеличиться.",1) Да. 2) Нет,1) Да.,11
анализ данных,1,"Исследование тысячи фирм показало, что те из них, которые частично принадлежат иностранным инвесторам, склонны к инновациям больше, чем фирмы, в структуре владельцев которых иностранцев нет. Значит, государство, стремящееся добиться 
 инновационного роста, должно способствовать росту прямых иностранных инвестиций в экономику.",1) Да. 2) Нет.,2) Нет.,11
нобелевская премия,2,". Выберите среди перечисленных вариантов область, за достижения в которой была 
 присуждена Нобелевская премия по экономике (Премия Шведского государственного 
 банка по экономическим наукам памяти Альфреда Нобеля) в 2018 году.","1) Экономика труда; 2) поведенческая экономика; 
 3) макроэкономика; 4) фрикономика.",3) макроэкономика;,11
финансы,2,Покупатель европейского опциона-колл на акции компании X,"1) Обязан купить определенное число акций фирмы X по определенной цене 
 до определенного момента в будущем. 
 2) Имеет право на продажу определенного числа акций фирмы X по определенной 
 цене до определенного момента в будущем. 
 3) Обязан купить определенное число акций фирмы X по определенной цене 
 в определенный момент в будущем. 
 4) Имеет право на покупку определенного числа акций фирмы X по определенной 
 цене в определенный момент в будущем.","4) Имеет право на покупку определенного числа акций фирмы X по определенной 
 цене в определенный момент в будущем.",11
финансы,2,"Первые 4 года цена акции росла на 100 % в год, а следующие 4 года падала на 60 % 
 в год. Как изменилась цена акции за 8 лет?","1) Выросла на 40,96 %; 2) выросла на 140 %; 
 3) выросла на 240 %; 4) снизилась на 59,04 %.","4) снизилась на 59,04 %.",11
неравенство,2,"Кривая Лоренца страны проходит через точку (0,5; 0,5). Чему равен максимально
 возможный коэффициент Джини в данной стране?","1) 0; 2) 0,25; 3) 0,5; 4) 1",1) 0,11
заводы,2,"Фирма владеет тремя заводами с функциями издержек TC1(q) = q, TC2(q)=q^2,TC3(q) = q^3. Производство распределяется между заводами так, чтобы суммарные издержки были минимальны. Оказалось, что при каком-то общем объеме выпуска Q > 0 фирма решила не использовать один из заводов. Какой завод это может быть?","1) Только первый; 2) только третий;
 3) первый или третий; 4) любой из заводов.",1) Только первый,11
основы бизнеса,3,". Студент экономического факультета решил открыть бизнес по онлайн-подготовке 
 к олимпиадам. Первоначальные инвестиции (создание сайта, запись видео) составят 1 
 млн р. В первый год он ожидает получить прибыль в размере 0,5 млн р., в следующие 
 2 года –– по 1 млн р., во все последующие годы –– вновь 0,5 млн р. Проект теоретически 
 может существовать бесконечно. При каких ставках банковского процента вкладывать 
 деньги в этот бизнес выгоднее, чем на депозит в банк, где проценты выплачиваются 
 раз в год? Считайте, что риски проекта сравнимы с рисками депозита.",1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,1) 20 % годовых; 2) 30 % годовых; 3) 40 % годовых; 4) 50 % годовых.,11
монополия,3,"На монопольном рынке индекс Лернера равен 0,2, фирма максимизирует прибыль. Выберите верные утверждения:","1) Общая выручка монополиста как минимум вдвое больше его общих издержек. 
 2) Монополия производит общественно эффективный объем выпуска. 
 3) Эластичность спроса по цене равна (−5). 
 4) Фирма получит бо́льшую прибыль, если увеличит цену.",3) Эластичность спроса по цене равна (−5).,11
валютный курс,3,"В результате каких событий цена рубля, выраженная в иностранной валюте, упадет (в условиях политики плавающего валютного курса)?","1) Центральный банк РФ анонсировал значительное снижение ключевой ставки (т. е. 
 ставки, по которой он выдает кредиты коммерческим банкам). 
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой 
 революционной сверхдешевой солнечной батареи. 
 3) Опубликован новый рейтинг инвестиционного климата в разных странах мира, 
 в котором Россия улучшила свою позицию сразу на 20 мест. 
 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.","1) Центральный банк РФ анонсировал значительное снижение ключевой ставки (т. е. 
 ставки, по которой он выдает кредиты коммерческим банкам). 
 2) Знаменитый американский предприниматель Илон М. объявил о создании новой 
 революционной сверхдешевой солнечной батареи. 4) Объявлено о вводе новых санкций, которые лишат инвесторов из США и Евросоюза возможности кредитовать российское правительство.",11
гос вмешательство,3,"В двух больших странах на внутренних рынках солнечных батарей функции 
 спроса убывают, а функции предложения возрастают. Изначально страны свободно 
 торгуют солнечными батареями. В начале 2018 года президент страны-импортера Дональд Т. ввел импортный тариф по ставке 30 %. В результате этого:","1) Цена солнечных батарей в одной из стран понизится. 
 2) Потребители страны-импортера выиграют. 
 3) Потребители в стране-экспортере пострадают. 
 4) Общее благосостояние хотя бы одной из стран упадет.",1) Цена солнечных батарей в одной из стран понизится. 4) Общее благосостояние хотя бы одной из стран упадет.,11
гос вмешательство,4,". На конкурентном рынке спрос описывается уравнением Q = 100 − P, а предложение — уравнением Q = P. Государство вводит субсидию в размере 20 ден. ед. за каждую 
 проданную единицу продукции. Найдите расходы государства на субсидию.",-,1200,11
гос вмешательство,4,"Спрос на продукцию монополии задается уравнением Q = 11 − P, издержки монополии равны TC = Q. Государство вводит потоварный налог по ставке t (0 < t < 10). 
 Какую часть налога фирма переложит на потребителя? Запишите ответ в виде обыкновенной или десятичной дроби.",-,0.5,11
международная торговля,4,"Известно, что в стране А спрос на товар Х задается уравнением Q = 5 −P /2; а предложение –– уравнением 𝑄 = P /2. Отечественные производители также могут продать 
 любое количество товара за рубеж по цене 8. Отечественные покупатели, в свою очередь, могут приобрести любое количество товара за рубежом по цене 3. Зарубежные 
 производители и зарубежные покупатели не пересекаются. Сколько единиц товара 
 отечественные производители продадут внутри страны?",-,0,11
кпв,4,"КПВ страны описывается уравнением X + 2Y = 300. На мировом рынке можно
 обменивать Икс на Игрек в любую сторону в пропорции одна единица Икса за две
 единицы Игрека. Жители потребляют Иксы и Игреки только в виде коктейлей, которые бывают двух видов:
 (а) 2 единицы Икса и 2 единицы Игрека;
 (б) 3 единицы Икса и 1 единица Игрека.
 Между коктейлями разных видов жители безразличны. Какое максимальное количество коктейлей смогут потребить жители страны?",-,100,11
монополия,4,"Спрос на продукцию монополиста предъявляют мужчины и женщины. Спрос 
 мужчин описывается уравнением Qm = 40 − P, а женщин –– Qw = 20 − P. Переменные 
 издержки равны нулю. Покупки осуществляются на сайте фирмы. Изначально фирма 
 не может определить пол посетителя сайта и назначает единую цену для всех. Компания Oxford Analytics предлагает технологию, которая основана на big data и позволяет 
 определять пол посетителя по характеру его/ее действий, что позволит монополисту 
 назначать разные цены для мужчин и женщин. Какую максимальную сумму фирма 
 будет готова заплатить за эту технологию?",-,50,11
